traj_id,t,y,u,v
1,0.0,0.100300753706987,10,
1,0.2,0.0946214812160213,10,
1,0.4,0.084424377745141,10,
1,0.6,0.0814492062221409,10,
1,0.8,0.085459572131128,10,
1,1.0,0.0830015638330669,10,
1,1.2,0.0844297454446541,10,
1,1.4,0.0927926214958032,10,
1,1.6,0.0998041518077907,10,
1,1.8,0.105585997439171,10,
1,2.0,0.108103862346264,10,
1,2.2,0.121077944052921,10,
1,2.4,0.124038895506344,10,
1,2.6,0.135509038434344,10,
1,2.8,0.134046748741884,10,
1,3.0,0.144420430968608,10,
1,3.2,0.157644045471236,10,
1,3.4,0.168824942943947,10,
1,3.6,0.175929064912462,10,
1,3.8,0.171613355735392,10,
1,4.0,0.183250839510587,10,
1,4.2,0.190131513196428,10,
1,4.4,0.194122064853991,10,
1,4.6,0.203007349614042,10,
1,4.8,0.199074775536711,10,
1,5.0,0.214350371110337,10,
1,5.2,0.217845523292844,10,
1,5.4,0.23085767792757,10,
1,5.6,0.24013887140019,10,
1,5.8,0.243226516655832,10,
1,6.0,0.257446618892641,10,
1,6.2,0.267138491249126,10,
1,6.4,0.268840644181425,10,
1,6.6,0.280379739543869,10,
1,6.8,0.270488904597199,10,
1,7.0,0.280816747192139,10,
1,7.2,0.291054394414688,10,
1,7.4,0.301300605256546,10,
1,7.6,0.300548578647268,10,
1,7.8,0.310393662084327,10,
1,8.0,0.324931997746396,10,
1,8.2,0.315422635185137,10,
1,8.4,0.322520017343244,10,
1,8.6,0.329641473995522,10,
1,8.8,0.32961205535285,10,
1,9.0,0.339062788049049,10,
1,9.2,0.337803329207825,10,
1,9.4,0.35370933539211,10,
1,9.6,0.346562914783702,10,
1,9.8,0.355098620401167,10,
1,10.0,0.363803664959894,10,
1,10.2,0.365891251648858,10,
1,10.4,0.371139114588943,10,
1,10.6,0.374558032870291,10,
1,10.8,0.384912586321162,10,
1,11.0,0.380184554097559,10,
1,11.2,0.390483770212929,10,
1,11.4,0.390219867282368,10,
1,11.6,0.401034220063725,10,
1,11.8,0.405266508156567,10,
1,12.0,0.395919584638686,10,
1,12.2,0.409416598045923,10,
1,12.4,0.410514057291583,10,
1,12.6,0.408778500736097,10,
1,12.8,0.423240582188246,10,
1,13.0,0.423070263876584,10,
1,13.2,0.430032402492223,10,
1,13.4,0.425292535968365,10,
1,13.6,0.433026759767829,10,
1,13.8,0.436607768967647,10,
1,14.0,0.434371431605574,10,
1,14.2,0.440176271373952,10,
1,14.4,0.44605631184623,10,
1,14.6,0.434224421787979,10,
1,14.8,0.457972649343463,10,
1,15.0,0.458189264501584,10,
1,15.2,0.454723200288555,10,
1,15.4,0.449422110731885,10,
1,15.6,0.46795546105696,10,
1,15.8,0.463721156008013,10,
1,16.0,0.464692391698531,10,
1,16.2,0.460437987275301,10,
1,16.4,0.472556265134395,10,
1,16.6,0.474626725569126,10,
1,16.8,0.483613524605505,10,
1,17.0,0.474822894617337,10,
1,17.2,0.480587139135226,10,
1,17.4,0.482563924949275,10,
1,17.6,0.486398437742327,10,
1,17.8,0.489314292061663,10,
1,18.0,0.486742324716765,10,
1,18.2,0.496596272528185,10,
1,18.4,0.492443980762509,10,
1,18.6,0.490655512985041,10,
1,18.8,0.492338986386184,10,
1,19.0,0.506389464661961,10,
1,19.2,0.489415342140604,10,
1,19.4,0.503491127359904,10,
1,19.6,0.500998385608485,10,
1,19.8,0.507220422757976,10,
1,20.0,0.501334648820646,10,
1,20.2,0.50103356515762,10,
1,20.4,0.515446030177999,10,
1,20.6,0.508323820098581,10,
1,20.8,0.518922070158262,10,
1,21.0,0.51419482182846,10,
1,21.2,0.509431110869271,10,
1,21.4,0.51710963372641,10,
1,21.6,0.520444449493774,10,
1,21.8,0.517482515354514,10,
1,22.0,0.511278293751881,10,
1,22.2,0.517666866923359,10,
1,22.4,0.52123359503737,10,
1,22.6,0.517067504384755,10,
1,22.8,0.530070577043927,10,
1,23.0,0.532137703578776,10,
1,23.2,0.528962299254368,10,
1,23.4,0.519700952637191,10,
1,23.6,0.519186155369179,10,
1,23.8,0.530046550695955,10,
1,24.0,0.529753590201509,10,
1,24.2,0.527958960988265,10,
1,24.4,0.540171488620019,10,
1,24.6,0.533764873299875,10,
1,24.8,0.530117555488819,10,
1,25.0,0.53775044784386,10,
1,25.2,0.53372653898059,10,
1,25.4,0.529351729093158,10,
1,25.6,0.540191170165822,10,
1,25.8,0.544076891201907,10,
1,26.0,0.538677469784292,10,
1,26.2,0.537394196136362,10,
1,26.4,0.537945273319938,10,
1,26.6,0.540114471771951,10,
1,26.8,0.539257804265775,10,
1,27.0,0.536284416150946,10,
1,27.2,0.547835154315071,10,
1,27.4,0.545515479928774,10,
1,27.6,0.544006456370648,10,
1,27.8,0.547079891384042,10,
1,28.0,0.541822568796557,10,
1,28.2,0.547143733542014,10,
1,28.4,0.550074108388828,10,
1,28.6,0.549547668792197,10,
1,28.8,0.550609932671502,10,
1,29.0,0.542025895016085,10,
1,29.2,0.55088474327679,10,
1,29.4,0.548621573977297,10,
1,29.6,0.546906127429815,10,
1,29.8,0.553155492441697,10,
1,30.0,0.545459655148926,10,
1,30.2,0.54920880286483,10,
1,30.4,0.552053624982409,10,
1,30.6,0.547956351991566,10,
1,30.8,0.552244002715394,10,
1,31.0,0.557992458765786,10,
1,31.2,0.56570743750113,10,
1,31.4,0.552109993574392,10,
1,31.6,0.555690150584699,10,
1,31.8,0.559743264688938,10,
1,32.0,0.550054041715786,10,
1,32.2,0.556394305578185,10,
1,32.4,0.55253258066362,10,
1,32.6,0.55019438146272,10,
1,32.8,0.54691909603414,10,
1,33.0,0.560528589846484,10,
1,33.2,0.556666301357798,10,
1,33.4,0.554867037517401,10,
1,33.6,0.566119983323293,10,
1,33.8,0.562577135694162,10,
1,34.0,0.558481431758601,10,
1,34.2,0.562245576306787,10,
1,34.4,0.549416299222412,10,
1,34.6,0.550098601036957,10,
1,34.8,0.566874855433082,10,
1,35.0,0.564296701490217,10,
1,35.2,0.557158299336694,10,
1,35.4,0.5619612550306,10,
1,35.6,0.556919582196957,10,
1,35.8,0.568504044672848,10,
1,36.0,0.561108839876111,10,
1,36.2,0.560093196536978,10,
1,36.4,0.574631414144901,10,
1,36.6,0.558277010737121,10,
1,36.8,0.56184313818393,10,
1,37.0,0.566831693353396,10,
1,37.2,0.563267491856182,10,
1,37.4,0.562186526150225,10,
1,37.6,0.563453296615771,10,
1,37.8,0.56210463589264,10,
1,38.0,0.561648931649154,10,
1,38.2,0.561801522766124,10,
1,38.4,0.55802685849016,10,
1,38.6,0.569311636509268,10,
1,38.8,0.554468100313657,10,
1,39.0,0.562286883336814,10,
1,39.2,0.566036883062466,10,
1,39.4,0.555582901691616,10,
1,39.6,0.558618326800835,10,
1,39.8,0.560416728505951,10,
1,40.0,0.571752411474573,10,
1,40.2,0.566269994251289,10,
1,40.4,0.566667408587545,10,
1,40.6,0.565622620184218,10,
1,40.8,0.558998712882193,10,
1,41.0,0.561847921691158,10,
1,41.2,0.563841554063873,10,
1,41.4,0.562143182929848,10,
1,41.6,0.562005526419043,10,
1,41.8,0.569941607272593,10,
1,42.0,0.553372516161704,10,
1,42.2,0.566571977902243,10,
1,42.4,0.562013161175732,10,
1,42.6,0.565675229978114,10,
1,42.8,0.569551090755757,10,
1,43.0,0.562011464723224,10,
1,43.2,0.561262857959764,10,
1,43.4,0.565644899660202,10,
1,43.6,0.56731313995991,10,
1,43.8,0.568151947751474,10,
1,44.0,0.563474543961139,10,
1,44.2,0.566356239363791,10,
1,44.4,0.557943203663748,10,
1,44.6,0.563975466617848,10,
1,44.8,0.568092147274453,10,
1,45.0,0.562277879241489,10,
1,45.2,0.569096135311786,10,
1,45.4,0.560780388529336,10,
1,45.6,0.570652180405079,10,
1,45.8,0.55982734317363,10,
1,46.0,0.577425978782718,10,
1,46.2,0.565438175338125,10,
1,46.4,0.565676839107164,10,
1,46.6,0.569097093291838,10,
1,46.8,0.563265691000698,10,
1,47.0,0.565923555794269,10,
1,47.2,0.567305046058667,10,
1,47.4,0.563924930040548,10,
1,47.6,0.567093525685897,10,
1,47.8,0.562538891631658,10,
1,48.0,0.562795637153699,10,
1,48.2,0.565459482446474,10,
1,48.4,0.564166978142119,10,
1,48.6,0.567474426390194,10,
1,48.8,0.562799557972496,10,
1,49.0,0.563599817064074,10,
1,49.2,0.554047864209917,10,
1,49.4,0.568588847242354,10,
1,49.6,0.569501214690266,10,
1,49.8,0.565991396771868,10,
1,50.0,0.565674892326307,5,
1,50.2,0.561306758667761,5,
1,50.4,0.564270096106912,5,
